ID,Project,Type,Bill,Page,Item,Revision,Ref,Description,Qty,Unit,Rate,Total
1,BQ_2026-03-03,Notes,4.4,4,,Addendum No. 2,,DOORS AND FRAMES (Cont'd),,,,
2,BQ_2026-03-03,Notes,4.4,4,,Addendum No. 2,,"Design, supply and install 50 mm thick solid",,,,
3,BQ_2026-03-03,Notes,4.4,4,,Addendum No. 2,,core flush doors and frames; faced both,,,,
4,BQ_2026-03-03,Notes,4.4,4,,Addendum No. 2,,sides with plywood with plastic laminate,,,,
5,BQ_2026-03-03,Notes,4.4,4,,Addendum No. 2,,"finish including edging all around doors,",,,,
6,BQ_2026-03-03,Notes,4.4,4,,Addendum No. 2,,"accessories, bedding and grouting frames",,,,
7,BQ_2026-03-03,Notes,4.4,4,,Addendum No. 2,,1 Door 750 x 2100 mm high (DT18_B108-A).,,,,
8,BQ_2026-03-03,Notes,4.4,4,,Addendum No. 2,,1,,,,
9,BQ_2026-03-03,Notes,4.4,4,,Addendum No. 2,,Set,,,,
10,BQ_2026-03-03,Notes,4.4,4,,Addendum No. 2,,"Design, supply and install 50 mm thick",,,,
11,BQ_2026-03-03,Notes,4.4,4,,Addendum No. 2,,"proprietary fire rated solid core flush doors,",,,,
12,BQ_2026-03-03,Notes,4.4,4,,Addendum No. 2,,"frames, sub-frame and architraves including",,,,
13,BQ_2026-03-03,Notes,4.4,4,,Addendum No. 2,,"edging all round doors, intumescent strips,",,,,
14,BQ_2026-03-03,Notes,4.4,4,,Addendum No. 2,,"glass panels and glazing, beads,",,,,
15,BQ_2026-03-03,Notes,4.4,4,,Addendum No. 2,,"accessories, and bedding and grouting",,,,
16,BQ_2026-03-03,Notes,4.4,4,,Addendum No. 2,,frames,,,,
17,BQ_2026-03-03,Notes,4.4,4,,Addendum No. 2,,Fire rated door assemblies with fire,,,,
18,BQ_2026-03-03,Notes,4.4,4,,Addendum No. 2,,resistance rating (FRR) of -/60/60,,,,
19,BQ_2026-03-03,Notes,4.4,4,,Addendum No. 2,,2 Self-closing door 600 x 2000 mm high faced,,,,
20,BQ_2026-03-03,Notes,4.4,4,,Addendum No. 2,,faced both sides with plastic laminate sheet,,,,
21,BQ_2026-03-03,Notes,4.4,4,,Addendum No. 2,,"(AT02b, AT02b1).",,,,
22,BQ_2026-03-03,Notes,4.4,4,,Addendum No. 2,,5,,,,
23,BQ_2026-03-03,Notes,4.4,4,,Addendum No. 2,,Set,,,,
24,BQ_2026-03-03,Notes,4.4,4,,Addendum No. 2,,3 Door 950 x 2100 mm high faced both sides with,,,,
25,BQ_2026-03-03,Notes,4.4,4,,Addendum No. 2,,plastic laminate sheet and complete with 2 No.,,,,
26,BQ_2026-03-03,Notes,4.4,4,,Addendum No. 2,,100 x 700 mm high firelite clear glass panels or,,,,
27,BQ_2026-03-03,Notes,4.4,4,,Addendum No. 2,,approved equivalent glass and stainless steel,,,,
28,BQ_2026-03-03,Notes,4.4,4,,Addendum No. 2,,plate with acid etched signage complying with,,,,
29,BQ_2026-03-03,Notes,4.4,4,,Addendum No. 2,,FS Code 16 on both sides and stainless steel,,,,
30,BQ_2026-03-03,Notes,4.4,4,,Addendum No. 2,,plate with acid etched signage complying with,,,,
31,BQ_2026-03-03,Notes,4.4,4,,Addendum No. 2,,"FS Code 16 on both sides (DT1_B109-A,",,,,
32,BQ_2026-03-03,Notes,4.4,4,,Addendum No. 2,,DT1_B109-B).,,,,
33,BQ_2026-03-03,Notes,4.4,4,,Addendum No. 2,,2,,,,
34,BQ_2026-03-03,Notes,4.4,4,,Addendum No. 2,,Set,,,,
